"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "Prisma", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/qaaf/Projects/final project purwadhika/frontend/src/components/PropertyCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 5, 59
"/Users/qaaf/Projects/final project purwadhika/frontend/src/components/Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/Users/qaaf/Projects/final project purwadhika/frontend/src/components/ui/button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 6, 63
"/Users/qaaf/Projects/final project purwadhika/frontend/src/components/ui/calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 11, 221
"/Users/qaaf/Projects/final project purwadhika/frontend/src/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 10, 93
"/Users/qaaf/Projects/final project purwadhika/frontend/src/components/ui/carousel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 28, 242
"/Users/qaaf/Projects/final project purwadhika/frontend/src/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/qaaf/Projects/final project purwadhika/frontend/src/middleware.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 38
"/Users/qaaf/Projects/final project purwadhika/frontend/src/stores/authStore.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 66
"/Users/qaaf/Projects/final project purwadhika/frontend/tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 8153, 1300, 56, 12890, 100, 125, 5, 5173, 119, 23, 5588, 776, 34308
