"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "JSON", "Prisma", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/qaaf/Projects/final project purwadhika/frontend/eslint.config.mjs", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/qaaf/Projects/final project purwadhika/frontend/next.config.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/qaaf/Projects/final project purwadhika/frontend/package-lock.json", "JSON", 0, 0, 0, 8353, 0, 0, 0, 0, 0, 0, 0, 1, 8354
"/Users/qaaf/Projects/final project purwadhika/frontend/package.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/qaaf/Projects/final project purwadhika/frontend/postcss.config.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/qaaf/Projects/final project purwadhika/frontend/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/qaaf/Projects/final project purwadhika/frontend/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/qaaf/Projects/final project purwadhika/frontend/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/qaaf/Projects/final project purwadhika/frontend/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/qaaf/Projects/final project purwadhika/frontend/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
